Name,Description,Category,Priority,Due Date,Done,Recurrence
Order running shoes online,Compare prices and place order for running shoes,Shopping,High,13/03/2026,No,Daily
Fix CSS layout on settings page,Resolve responsive design issues,Work,Low,13/03/2026,No,Daily
Print form,Download and print required form,General,Medium,13/03/2026,No,
Book physio appointment,Address recurring shoulder tension,Health,Low,13/03/2026,Yes,
Doctor checkup,Annual physical examination,Health,High,13/03/2026,Yes,Monthly
Read chapter of The Pragmatic Programmer,Continue reading The Pragmatic Programmer,Personal,Medium,13/03/2026,Yes,
Return keyboard,Send back unwanted keyboard within return window,Shopping,Medium,13/03/2026,No,Weekly
Renew driving licence,Complete online renewal application,Personal,High,13/03/2026,Yes,
Research pension contributions,Review employer match options,Finance,Medium,14/03/2026,Yes,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,14/03/2026,No,Monthly
Research pension contributions,Review employer match options,Finance,Medium,14/03/2026,Yes,
Write technical spec for search,Document architecture and implementation plan,Work,Medium,14/03/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,High,14/03/2026,No,
Meditation 5 minutes,Mindfulness session using app,Health,Low,14/03/2026,Yes,Daily
Gym workout — shoulders,Focus session on shoulders,Health,Medium,14/03/2026,No,
Pay broadband bill,Monthly payment via online banking,Finance,Medium,14/03/2026,Yes,
Update passwords,Rotate credentials for key accounts,General,High,14/03/2026,Yes,
Cancel unused subscription,Remove service no longer needed,Finance,Medium,14/03/2026,No,Weekly
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,14/03/2026,Yes,Daily
Track water intake,Aim for 2.5L throughout the day,Health,Medium,14/03/2026,No,Monthly
Grocery shop,Stock up on weekly essentials,Shopping,Medium,14/03/2026,No,
Write unit tests for notifications,Increase test coverage for notifications,Work,Medium,14/03/2026,Yes,Weekly
Compare prices for coffee beans,Find best deal before purchasing,Shopping,Medium,14/03/2026,No,
Set up CI/CD pipeline,Automate build and deployment process,Work,High,15/03/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,High,15/03/2026,No,
Weigh in and log progress,Record in health tracking app,Health,High,15/03/2026,Yes,Weekly
Meditation 20 minutes,Mindfulness session using app,Health,Medium,15/03/2026,No,Daily
Book physio appointment,Address recurring shoulder tension,Health,Medium,15/03/2026,Yes,
Sprint planning meeting,Define user stories and assign tickets,Work,Low,15/03/2026,Yes,Monthly
Order running shoes online,Compare prices and place order for running shoes,Shopping,Medium,15/03/2026,No,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,15/03/2026,Yes,
Update passwords,Rotate credentials for key accounts,General,Medium,15/03/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,High,15/03/2026,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Medium,15/03/2026,Yes,
Return desk lamp,Send back unwanted desk lamp within return window,Shopping,Low,15/03/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,Medium,15/03/2026,Yes,
Morning run 10km,Steady pace training run,Health,High,16/03/2026,Yes,Daily
Cancel unused subscription,Remove service no longer needed,Finance,High,16/03/2026,Yes,
Follow up on protein powder,Chase outstanding response on protein powder,General,Low,16/03/2026,Yes,
Weigh in and log progress,Record in health tracking app,Health,Low,16/03/2026,No,Weekly
Code review session,Review team's open pull requests,Work,High,16/03/2026,Yes,Monthly
Grocery shop,Stock up on weekly essentials,Shopping,Medium,16/03/2026,No,
Follow up on winter jacket,Chase outstanding response on winter jacket,General,Medium,16/03/2026,No,Monthly
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,16/03/2026,No,Daily
Update emergency contacts,Add new phone numbers and addresses,Personal,Low,16/03/2026,No,
Compare prices for monitor stand,Find best deal before purchasing,Shopping,Medium,16/03/2026,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,High,16/03/2026,Yes,
Deep clean living room,Full clean of the living room,Personal,Low,16/03/2026,Yes,
Book physio appointment,Address recurring shoulder tension,Health,High,16/03/2026,Yes,Monthly
Reply to emails,Clear inbox and action pending messages,General,High,16/03/2026,Yes,
Meditation 20 minutes,Mindfulness session using app,Health,Medium,17/03/2026,Yes,
Pay electricity bill,Monthly payment via online banking,Finance,Medium,17/03/2026,Yes,
Compare insurance policies,Annual review of home and car cover,Finance,Low,17/03/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,High,17/03/2026,No,
Security audit of settings,Review for vulnerabilities and patch issues,Work,High,17/03/2026,Yes,
Buy winter jacket,Purchase winter jacket from local store or online,Shopping,Medium,17/03/2026,No,Daily
Submit tax documents,Upload supporting documents to HMRC,Finance,High,17/03/2026,Yes,Weekly
Resolve merge conflict in reports,Fix conflicting changes in branch,Work,Low,17/03/2026,Yes,Monthly
Schedule monthly review,Block calendar time for retrospective,General,High,17/03/2026,Yes,Weekly
Check local news,Read area updates and community notices,General,Low,17/03/2026,No,
Pick up prescription,Collect medication from pharmacy,Shopping,High,17/03/2026,No,Monthly
Meditation 8 minutes,Mindfulness session using app,Health,Medium,17/03/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Low,18/03/2026,No,Monthly
Hotfix deployment,Push emergency fix to production,Work,Medium,18/03/2026,No,Monthly
Write unit tests for settings,Increase test coverage for settings,Work,Low,18/03/2026,Yes,
Deep clean bedroom,Full clean of the bedroom,Personal,Medium,18/03/2026,No,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,18/03/2026,Yes,Weekly
Return running shoes,Send back unwanted running shoes within return window,Shopping,Low,18/03/2026,No,
Restock winter jacket,Running low — order more winter jacket,Shopping,High,18/03/2026,No,
Plan weekend trip,Research destinations and book accommodation,Personal,Low,18/03/2026,No,Monthly
Plan birthday celebration for Sarah,"Organise venue, guests and cake",Personal,Medium,18/03/2026,Yes,
Morning run 15km,Steady pace training run,Health,Medium,18/03/2026,No,
Update API documentation,Add new endpoints to Swagger docs,Work,High,18/03/2026,No,
Client call preparation,Prepare slides and agenda for client meeting,Work,Low,18/03/2026,Yes,Weekly
Code review session,Review team's open pull requests,Work,Medium,18/03/2026,No,
Morning run 10km,Steady pace training run,Health,Medium,18/03/2026,Yes,Monthly
Deploy staging build,Push latest build to staging environment,Work,High,18/03/2026,Yes,
Research pension contributions,Review employer match options,Finance,Medium,18/03/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,19/03/2026,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,19/03/2026,No,
Read chapter of The Pragmatic Programmer,Continue reading The Pragmatic Programmer,Personal,Medium,19/03/2026,No,Monthly
Sort digital photo library,Organise and label photos from 2025,Personal,Medium,19/03/2026,No,
Update passwords,Rotate credentials for key accounts,General,High,19/03/2026,Yes,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Low,19/03/2026,No,Daily
Write in journal,Reflect on the week and set intentions,Personal,Low,19/03/2026,No,
Plan birthday celebration for Sarah,"Organise venue, guests and cake",Personal,Low,19/03/2026,No,Weekly
Check local news,Read area updates and community notices,General,Medium,19/03/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,19/03/2026,No,Daily
Return coffee beans,Send back unwanted coffee beans within return window,Shopping,Low,19/03/2026,Yes,
Restock winter jacket,Running low — order more winter jacket,Shopping,Medium,19/03/2026,Yes,
Deep clean bathroom,Full clean of the bathroom,Personal,Medium,19/03/2026,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,High,19/03/2026,No,Daily
Fix UI bug in storage,Investigate and resolve the issue in storage,Work,Medium,19/03/2026,Yes,
Compare prices for headphones,Find best deal before purchasing,Shopping,Medium,20/03/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,20/03/2026,Yes,
Doctor checkup,Annual physical examination,Health,Medium,20/03/2026,No,Daily
Performance review write-up,Document achievements and goals,Work,High,20/03/2026,No,
Pay phone bill,Monthly payment via online banking,Finance,Medium,20/03/2026,Yes,
Client call preparation,Prepare slides and agenda for client meeting,Work,Low,20/03/2026,Yes,Daily
Follow up on coffee beans,Chase outstanding response on coffee beans,General,Low,20/03/2026,No,
Update passwords,Rotate credentials for key accounts,General,High,20/03/2026,No,Monthly
Review credit card statement,Check for any unusual charges,Finance,Medium,20/03/2026,Yes,Weekly
Track water intake,Aim for 2.5L throughout the day,Health,Medium,20/03/2026,No,Weekly
Read chapter of The Pragmatic Programmer,Continue reading The Pragmatic Programmer,Personal,Medium,20/03/2026,No,
Weigh in and log progress,Record in health tracking app,Health,Medium,20/03/2026,No,
Deploy staging build,Push latest build to staging environment,Work,Low,20/03/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,21/03/2026,Yes,
Fix backend bug in storage,Investigate and resolve the issue in storage,Work,Medium,21/03/2026,No,Daily
Pick up prescription,Collect medication from pharmacy,Shopping,Low,21/03/2026,No,
Sprint planning meeting,Define user stories and assign tickets,Work,Medium,21/03/2026,No,
Order desk lamp online,Compare prices and place order for desk lamp,Shopping,Medium,21/03/2026,Yes,
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,21/03/2026,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Low,21/03/2026,No,
Print form,Download and print required form,General,Low,21/03/2026,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,High,21/03/2026,Yes,
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,21/03/2026,Yes,Daily
Morning run 10km,Steady pace training run,Health,Low,21/03/2026,Yes,Weekly
Compare prices for running shoes,Find best deal before purchasing,Shopping,Medium,21/03/2026,No,Monthly
Hotfix deployment,Push emergency fix to production,Work,High,21/03/2026,Yes,Monthly
Restock winter jacket,Running low — order more winter jacket,Shopping,Medium,21/03/2026,Yes,Daily
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,22/03/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,Low,22/03/2026,No,
Check local news,Read area updates and community notices,General,Low,22/03/2026,Yes,
Plan birthday celebration for Marco,"Organise venue, guests and cake",Personal,Medium,22/03/2026,Yes,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Medium,22/03/2026,No,
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Low,22/03/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,22/03/2026,Yes,
Read chapter of Clean Code,Continue reading Clean Code,Personal,Low,22/03/2026,No,Monthly
Review monthly budget,Check spending and adjust forecast,Finance,Low,22/03/2026,No,Monthly
Deploy QA build,Push latest build to QA environment,Work,Medium,22/03/2026,No,
Compare prices for vitamins,Find best deal before purchasing,Shopping,Low,22/03/2026,Yes,Weekly
Update dependencies,Upgrade outdated packages to latest versions,Work,Low,22/03/2026,No,
Schedule monthly review,Block calendar time for retrospective,General,Low,22/03/2026,No,
Schedule monthly review,Block calendar time for retrospective,General,Medium,22/03/2026,No,Weekly
Order vitamins online,Compare prices and place order for vitamins,Shopping,Medium,23/03/2026,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Low,23/03/2026,No,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,23/03/2026,Yes,
Schedule monthly review,Block calendar time for retrospective,General,Medium,23/03/2026,No,
Compare prices for desk lamp,Find best deal before purchasing,Shopping,High,23/03/2026,No,
Doctor checkup,Annual physical examination,Health,Medium,23/03/2026,Yes,Daily
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,23/03/2026,Yes,
Write unit tests for API,Increase test coverage for API,Work,High,23/03/2026,No,
Print contract,Download and print required contract,General,Medium,23/03/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,23/03/2026,Yes,
Write unit tests for settings,Increase test coverage for settings,Work,Medium,23/03/2026,No,Weekly
Order winter jacket online,Compare prices and place order for winter jacket,Shopping,Medium,23/03/2026,Yes,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,24/03/2026,Yes,
Update passwords,Rotate credentials for key accounts,General,High,24/03/2026,Yes,Weekly
Plan weekend trip,Research destinations and book accommodation,Personal,Low,24/03/2026,Yes,Weekly
Meditation 10 minutes,Mindfulness session using app,Health,High,24/03/2026,No,
Pay council tax bill,Monthly payment via online banking,Finance,Medium,24/03/2026,No,
Grocery shop,Stock up on weekly essentials,Shopping,Medium,24/03/2026,Yes,Daily
Buy vitamins,Purchase vitamins from local store or online,Shopping,Low,24/03/2026,Yes,Weekly
Write in journal,Reflect on the week and set intentions,Personal,High,24/03/2026,No,Monthly
Implement CSV export feature,Build and test the new functionality,Work,Low,24/03/2026,No,Monthly
Buy gift for the team,Find appropriate gift under budget,Shopping,Medium,24/03/2026,Yes,
Set up CI/CD pipeline,Automate build and deployment process,Work,Low,24/03/2026,Yes,
Buy gift for Bob,Find appropriate gift under budget,Shopping,Low,24/03/2026,No,Monthly
Review credit card statement,Check for any unusual charges,Finance,Medium,24/03/2026,No,Weekly
Pay off credit card balance,Clear full balance before due date,Finance,Medium,24/03/2026,No,
Compare prices for desk lamp,Find best deal before purchasing,Shopping,Medium,24/03/2026,Yes,Monthly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,25/03/2026,No,Daily
Cancel unused subscription,Remove service no longer needed,Finance,Low,25/03/2026,No,
Check local news,Read area updates and community notices,General,High,25/03/2026,No,Daily
Buy desk lamp,Purchase desk lamp from local store or online,Shopping,Low,25/03/2026,Yes,
Doctor checkup,Annual physical examination,Health,Medium,25/03/2026,Yes,Daily
Update dependencies,Upgrade outdated packages to latest versions,Work,High,25/03/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,25/03/2026,Yes,Weekly
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,25/03/2026,Yes,Daily
Cancel unused subscription,Remove service no longer needed,Finance,High,25/03/2026,Yes,Weekly
Sort digital photo library,Organise and label photos from 2025,Personal,Low,25/03/2026,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,25/03/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,25/03/2026,No,
Research pension contributions,Review employer match options,Finance,Low,25/03/2026,Yes,
Review monthly budget,Check spending and adjust forecast,Finance,Medium,25/03/2026,No,
Review monthly budget,Check spending and adjust forecast,Finance,Medium,26/03/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,26/03/2026,No,Monthly
Track water intake,Aim for 2.5L throughout the day,Health,Low,26/03/2026,No,Monthly
Book eye test appointment,Schedule overdue check with optician,Personal,High,26/03/2026,Yes,Monthly
Fix CSS layout on profile page,Resolve responsive design issues,Work,High,26/03/2026,No,
Sprint planning meeting,Define user stories and assign tickets,Work,Low,26/03/2026,No,
Pay gas bill,Monthly payment via online banking,Finance,Medium,26/03/2026,Yes,
Meditation 30 minutes,Mindfulness session using app,Health,High,26/03/2026,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,Medium,26/03/2026,No,
Backup files to cloud,Sync important documents to cloud storage,General,High,26/03/2026,No,Daily
Research pension contributions,Review employer match options,Finance,High,26/03/2026,No,
Meditation 15 minutes,Mindfulness session using app,Health,Medium,26/03/2026,Yes,Weekly
Fix CSS layout on profile page,Resolve responsive design issues,Work,Medium,26/03/2026,No,
Pay broadband bill,Monthly payment via online banking,Finance,Medium,26/03/2026,Yes,
Restock winter jacket,Running low — order more winter jacket,Shopping,Medium,26/03/2026,No,Daily
File expense report,Collect receipts and submit via portal,Finance,Low,27/03/2026,No,
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Low,27/03/2026,No,
Print contract,Download and print required contract,General,Low,27/03/2026,No,
Check local news,Read area updates and community notices,General,Medium,27/03/2026,No,Weekly
Blood pressure check,Visit pharmacy for quick reading,Health,High,27/03/2026,No,
Backup files to cloud,Sync important documents to cloud storage,General,High,27/03/2026,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,27/03/2026,No,
Write technical spec for search,Document architecture and implementation plan,Work,Medium,27/03/2026,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,Low,27/03/2026,No,
New Year goals review,Check progress on annual objectives,Personal,Medium,27/03/2026,No,Weekly
Doctor checkup,Annual physical examination,Health,Medium,27/03/2026,No,Weekly
Pay water bill,Monthly payment via online banking,Finance,High,27/03/2026,No,
Set up standing order,Automate monthly savings transfer,Finance,Low,27/03/2026,No,Monthly
Compare insurance policies,Annual review of home and car cover,Finance,Medium,28/03/2026,Yes,
Yoga session 8 minutes,Follow YouTube yoga for flexibility,Health,High,28/03/2026,No,Monthly
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,28/03/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,28/03/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,28/03/2026,No,Weekly
Pick up prescription,Collect medication from pharmacy,Shopping,High,28/03/2026,No,Daily
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,28/03/2026,Yes,Weekly
Implement dark mode feature,Build and test the new functionality,Work,High,28/03/2026,No,
File expense report,Collect receipts and submit via portal,Finance,High,28/03/2026,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,28/03/2026,Yes,
Buy gift for Marco,Find appropriate gift under budget,Shopping,Medium,28/03/2026,No,
Implement filters feature,Build and test the new functionality,Work,Medium,29/03/2026,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,29/03/2026,No,
Doctor checkup,Annual physical examination,Health,High,29/03/2026,No,
Buy keyboard,Purchase keyboard from local store or online,Shopping,Medium,29/03/2026,Yes,Monthly
Check investment portfolio,Review ETF performance and rebalance,Finance,Low,29/03/2026,No,Monthly
Team standup preparation,Prepare blockers and progress updates,Work,High,29/03/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,Medium,29/03/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,29/03/2026,No,
Write technical spec for filters,Document architecture and implementation plan,Work,Medium,29/03/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,29/03/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,29/03/2026,Yes,
Check local news,Read area updates and community notices,General,High,29/03/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,30/03/2026,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,Low,30/03/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,High,30/03/2026,Yes,Daily
Update passwords,Rotate credentials for key accounts,General,Medium,30/03/2026,No,
Research pension contributions,Review employer match options,Finance,Medium,30/03/2026,Yes,Weekly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,30/03/2026,Yes,Monthly
Blood pressure check,Visit pharmacy for quick reading,Health,High,30/03/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,Medium,30/03/2026,Yes,
Compare prices for winter jacket,Find best deal before purchasing,Shopping,High,30/03/2026,Yes,
Read chapter of Deep Work,Continue reading Deep Work,Personal,Low,30/03/2026,No,
Write in journal,Reflect on the week and set intentions,Personal,Medium,30/03/2026,No,
Cancel unused subscription,Remove service no longer needed,Finance,High,31/03/2026,No,
Refactor notifications module,Clean up legacy code and improve readability,Work,Low,31/03/2026,Yes,
Cancel unused subscription,Remove service no longer needed,Finance,High,31/03/2026,Yes,
Security audit of storage,Review for vulnerabilities and patch issues,Work,High,31/03/2026,Yes,
File expense report,Collect receipts and submit via portal,Finance,High,31/03/2026,No,
Clean up desktop,Organise files and remove shortcuts,General,Medium,31/03/2026,No,
Backup files to cloud,Sync important documents to cloud storage,General,Medium,31/03/2026,No,Monthly
Write unit tests for dashboard,Increase test coverage for dashboard,Work,High,31/03/2026,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,31/03/2026,Yes,Monthly
Renew driving licence,Complete online renewal application,Personal,Low,31/03/2026,No,Daily
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Medium,31/03/2026,Yes,
Book eye test appointment,Schedule overdue check with optician,Personal,High,31/03/2026,Yes,Monthly
Update dependencies,Upgrade outdated packages to latest versions,Work,Low,31/03/2026,No,
Set up standing order,Automate monthly savings transfer,Finance,Low,31/03/2026,No,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,31/03/2026,No,
Team standup preparation,Prepare blockers and progress updates,Work,Low,01/04/2026,Yes,
Buy gift for the team,Find appropriate gift under budget,Shopping,High,01/04/2026,Yes,Monthly
Weigh in and log progress,Record in health tracking app,Health,Low,01/04/2026,Yes,Monthly
Doctor checkup,Annual physical examination,Health,Medium,01/04/2026,No,
Refactor API module,Clean up legacy code and improve readability,Work,Medium,01/04/2026,Yes,
Plan birthday celebration for Bob,"Organise venue, guests and cake",Personal,Medium,01/04/2026,Yes,Monthly
Write in journal,Reflect on the week and set intentions,Personal,Low,01/04/2026,Yes,Daily
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,01/04/2026,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,High,01/04/2026,Yes,Daily
Pay off credit card balance,Clear full balance before due date,Finance,Medium,01/04/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,01/04/2026,No,Weekly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Medium,01/04/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,High,01/04/2026,Yes,
Update API documentation,Add new endpoints to Swagger docs,Work,Low,01/04/2026,No,
Transfer savings,Move surplus to ISA or investment account,Finance,Low,02/04/2026,Yes,Monthly
Research investing,Read articles and save key notes,Personal,Low,02/04/2026,Yes,Weekly
Hotfix deployment,Push emergency fix to production,Work,Medium,02/04/2026,Yes,
Buy gift for mum,Find appropriate gift under budget,Shopping,High,02/04/2026,No,
Check local news,Read area updates and community notices,General,High,02/04/2026,Yes,Daily
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,02/04/2026,No,
Database migration script,Write and test migration for schema change,Work,Medium,02/04/2026,Yes,
Pay gas bill,Monthly payment via online banking,Finance,Low,02/04/2026,Yes,
Schedule monthly review,Block calendar time for retrospective,General,High,02/04/2026,Yes,Weekly
Schedule monthly review,Block calendar time for retrospective,General,Low,02/04/2026,No,
Research investing,Read articles and save key notes,Personal,Low,02/04/2026,Yes,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Medium,02/04/2026,No,
Review monthly budget,Check spending and adjust forecast,Finance,High,02/04/2026,Yes,Daily
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,High,02/04/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,High,03/04/2026,Yes,Weekly
Write unit tests for storage,Increase test coverage for storage,Work,Low,03/04/2026,No,Monthly
Research pension contributions,Review employer match options,Finance,High,03/04/2026,No,
Compare prices for winter jacket,Find best deal before purchasing,Shopping,Low,03/04/2026,No,
Return running shoes,Send back unwanted running shoes within return window,Shopping,Medium,03/04/2026,No,
Morning run 30km,Steady pace training run,Health,Medium,03/04/2026,No,
Meditation 8 minutes,Mindfulness session using app,Health,Medium,03/04/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,03/04/2026,Yes,Weekly
Cancel unused subscription,Remove service no longer needed,Finance,Medium,03/04/2026,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,03/04/2026,No,
Plan weekend trip,Research destinations and book accommodation,Personal,Medium,03/04/2026,Yes,Daily
Renew parking permit,Submit renewal before current one expires,General,Low,03/04/2026,Yes,
Renew driving licence,Complete online renewal application,Personal,Medium,04/04/2026,Yes,
Plan birthday celebration for dad,"Organise venue, guests and cake",Personal,Medium,04/04/2026,No,
Check local news,Read area updates and community notices,General,Medium,04/04/2026,No,
Transfer savings,Move surplus to ISA or investment account,Finance,Low,04/04/2026,No,Daily
Submit tax documents,Upload supporting documents to HMRC,Finance,Medium,04/04/2026,Yes,Daily
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Medium,04/04/2026,No,Monthly
Call Lena,Catch up with Lena over the phone,Personal,High,04/04/2026,No,
Check local news,Read area updates and community notices,General,Medium,04/04/2026,Yes,
Reply to emails,Clear inbox and action pending messages,General,Low,04/04/2026,Yes,Monthly
Return headphones,Send back unwanted headphones within return window,Shopping,High,04/04/2026,Yes,Monthly
Write unit tests for auth,Increase test coverage for auth,Work,High,04/04/2026,No,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,05/04/2026,Yes,
Deep clean bedroom,Full clean of the bedroom,Personal,High,05/04/2026,Yes,
Track water intake,Aim for 2.5L throughout the day,Health,High,05/04/2026,No,Monthly
Weigh in and log progress,Record in health tracking app,Health,Low,05/04/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,Low,05/04/2026,No,
Sprint planning meeting,Define user stories and assign tickets,Work,High,05/04/2026,Yes,
Set up CI/CD pipeline,Automate build and deployment process,Work,Medium,05/04/2026,Yes,Daily
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,05/04/2026,Yes,Weekly
Blood pressure check,Visit pharmacy for quick reading,Health,Low,05/04/2026,Yes,Daily
Update emergency contacts,Add new phone numbers and addresses,Personal,High,05/04/2026,Yes,
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,05/04/2026,Yes,Weekly
Set up CI/CD pipeline,Automate build and deployment process,Work,Medium,05/04/2026,No,Weekly
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,05/04/2026,Yes,Weekly
Review credit card statement,Check for any unusual charges,Finance,High,05/04/2026,Yes,Daily
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,06/04/2026,Yes,
Fix CSS layout on checkout page,Resolve responsive design issues,Work,High,06/04/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,06/04/2026,Yes,
Compare prices for notebook,Find best deal before purchasing,Shopping,Medium,06/04/2026,Yes,
Renew parking permit,Submit renewal before current one expires,General,Medium,06/04/2026,Yes,
Renew driving licence,Complete online renewal application,Personal,Medium,06/04/2026,Yes,
Doctor checkup,Annual physical examination,Health,Low,06/04/2026,No,Weekly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,High,06/04/2026,No,
Doctor checkup,Annual physical examination,Health,Medium,06/04/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,High,06/04/2026,Yes,Daily
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,06/04/2026,No,Monthly
Pick up prescription,Collect medication from pharmacy,Shopping,High,06/04/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,06/04/2026,Yes,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Low,06/04/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,High,06/04/2026,Yes,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,07/04/2026,No,
Team standup preparation,Prepare blockers and progress updates,Work,Medium,07/04/2026,Yes,
Sort digital photo library,Organise and label photos from 2025,Personal,High,07/04/2026,No,
Return keyboard,Send back unwanted keyboard within return window,Shopping,Low,07/04/2026,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,High,07/04/2026,No,Daily
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Low,07/04/2026,Yes,Daily
Book eye test appointment,Schedule overdue check with optician,Personal,Low,07/04/2026,Yes,Daily
Research Python best practices,Read articles and save key notes,Personal,Medium,07/04/2026,No,Daily
Return notebook,Send back unwanted notebook within return window,Shopping,Medium,07/04/2026,Yes,
Refactor auth module,Clean up legacy code and improve readability,Work,Medium,07/04/2026,No,
Book physio appointment,Address recurring shoulder tension,Health,High,07/04/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,Low,08/04/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,08/04/2026,No,
Meditation 10 minutes,Mindfulness session using app,Health,High,08/04/2026,No,
Resolve merge conflict in checkout,Fix conflicting changes in branch,Work,Low,08/04/2026,No,
Buy gift for Marco,Find appropriate gift under budget,Shopping,High,08/04/2026,No,Daily
